"dam_ID","dam_name","dam_height","storage","file","permit","water_right","river","basin","county","wm_district","wm_region","meridian","township","township_char","range","range_char","sctn","latitude","longitude","last_inspection","next_inspection","hazard","download_date"
"OR00020","CAMP CREEK RESERVOIR (BAKER)",45,1700,"C-1",,"Cert:31687 OR *","Camp Creek & Bull Run Creek",9,"BAKE",8,"E REGION","WM",13,"S",38,"E",5,44.4653511,-118.0881195,"10/02/2014",2017,"Significant","5/20/2017"
"OR00021","Fish Lake (Jackson-USBR)",50,22500,"F-1","XXF-1",,"Fish Lake & Trib",15,"JACK",13,"SW REGION","WM",37,"S",4,"E",4,42.37771987,-122.34793853,"NSI","NSI","High","5/20/2017"
"OR00022","Four Mile Lake Dam (USBR)",45,33000,"F-2","XXF-2",,"Four Mile Lake & Tribs",14,"KLAM",13,"SW REGION","WM",36,"S",5,"E",8,42.45497894,-122.24446105,"NSI","NSI","Significant","5/20/2017"
"OR00024","WHITED RESERVOIR (BAKER)",45,700,"W-4",,"Cert:29801 OR *","SOUTH FORK OF BURNT RIVER",9,"BAKE",8,"E REGION","WM",13,"S",36,"E",13,44.44231033,-118.24375152,"04/07/2016",2016,"Significant","5/20/2017"
"OR00026","MORFITT RESERVOIR",20,280,"M-62",,"Cert:1075 OR *","Off-Channel",9,"BAKE",8,"E REGION","WM",13,"S",37,"E",20,44.42559051,-118.19413757,"06/04/2015",2021,"Low","5/20/2017"
"OR00028","Vanderveer Dam",45,140,"V-8","R-106","Cert:3889 OR *","Dry Creek",10,"HARN",10,"E REGION","WM",21,"S",34,"E",4,43.7731018,-118.55117034,"05/24/2012",2018,"Low","5/20/2017"
"OR00029","LYLE RESERVOIR",12,103,"L-41",,"Cert:9689 OR *","Wilson Creek",5,"JEFF",11,"SC REGION","WM",10,"S",15,"E",6,44.72661972,-120.97229766,"03/05/1990",2016,"Low","5/20/2017"
"OR00030","Riddles Reservoir",10,80,"R-43","R-123","Cert:1406 OR *","Indian Springs Creek",12,"HARN",10,"E REGION","WM",33,"S",32.75,"E",30,42.68812179,-118.76203155,"NSI","NSI","Low","5/20/2017"
"OR00031","KEENE CREEK DIVERSION",67,392,"K-1",,"Cert:79216 OR *","Keene Creek",14,"JACK",13,"SW REGION","WM",39,"S",3,"E",33,42.12928009,-122.47799682,"NSI","NSI","Significant","5/20/2017"
"OR00034","Van Patton Lake Dam",14,643,"V-13","R-132","Cert:83799 CF *;Cert:83799 CF *","North Fork Dutch Flat Creek",9,"BAKE",8,"E REGION","WM",7,"S",37,"E",16,44.95655059,-118.18415832,"06/15/2012",2018,"Low","5/20/2017"
"OR00036","SCOTT DAM",18,160,"S-2",,"Cert:700 OR *","Jerry Creek",10,"MALH",9,"E REGION","WM",18,"S",37,"E",26,43.97306823,-118.13210296,"07/21/2015",2021,"Low","5/20/2017"
"OR00038","KINNEY LAKE",22,315,"K-28",,"Cert:3890 OR *","Mountain Sheep Ditch",8,"WALL",7,"E REGION","WM",3,"S",46,"E",8,45.31549835,-117.10401153,"09/24/2013",2019,"Low","5/20/2017"
"OR00040","Sawmill Gulch Reservoir",30,177,"S-92","R-244","Cert:1253 OR *","Saw Mill Gulch",9,"BAKE",8,"E REGION","WM",8,"S",43,"E",12,44.87533187,-117.39797973,"03/17/2015",2021,"Low","5/20/2017"
"OR00042","MCCOY RESERVOIR",15,1245,"M-75",,"Cert:2813 OR *","Mills Creek",14,"KLAM",17,"SC REGION","WM",40,"S",13,"E",30,42.07189941,-121.34181976,"09/01/2011",2017,"Low","5/20/2017"
"OR00043","SIMMS RESERVOIR",15,515,"S-100",,"Cert:2813 OR *","Mills Creek",14,"KLAM",17,"SC REGION","WM",40,"S",13,"E",31,42.05498886,-121.33606719,"11/28/2012",2018,"Low","5/20/2017"
"OR00044","Long Creek Reservoir",20,91,"L-27","R-257","Cert:51712 CF *;Cert:51314 RR *","Long Creek",9,"BAKE",8,"E REGION","WM",14,"S",37,"E",10,44.35868072,-118.15924835,"06/03/2015",2021,"Low","5/20/2017"
"OR00047","CROW - F. M. RESERVOIR",15,170,"C-74",,"Inchoate: T  10718 CF (REG) *","Deer Gulch",9,"BAKE",8,"E REGION","WM",8,"S",47,"E",31,44.82057189,-117.01902008,"03/24/2015",2021,"Low","5/20/2017"
"OR00048","BUTTE",14,500,"B-73",,"Cert:3307 OR *","Butte Creek",11,"MALH",9,"E REGION","WM",24,"S",41,"E",31,43.4307785,-117.74317932,"08/24/2011",2017,"Low","5/20/2017"
"OR00049","DREWS RESERVOIR",60,65000,"D-3",,"Cert:47468 OR *","Drews Creek",13,"LAKE",12,"SC REGION","WM",40,"S",18,"E",5,42.12197113,-120.61802673,"08/02/2016",2017,"High","5/20/2017"
"OR00051","ARRITOLA RESERVOIR",18,2000,"A-28",,"Cert:2202 OR *","Soldier Creek",11,"MALH",9,"E REGION","WM",33,"S",46,"E",5,42.71940994,-117.09030151,"08/28/2012",2018,"Low","5/20/2017"
"OR00052","CORLISS",10,75,"C-77",,"Cert:2814 OR *","Butte Creek, Trib to",11,"MALH",9,"E REGION","WM",25,"S",41,"E",30,43.36658096,-117.75627899,"08/24/2011",2017,"Low","5/20/2017"
"OR00053","Anderson-Lower (Malheur)",34,2990,"A-34","R-320","Cert:2177 OR *","Crooked Creek",11,"MALH",9,"E REGION","WM",33,"S",40,"E",9,42.70613098,-117.81661224,"08/28/2012",2018,"Low","5/20/2017"
"OR00054","Beer s Reservoir",11,400,"B-61","R-322","Cert:1855 OR *","Unnamed",10,"MALH",9,"E REGION","WM",24,"S",38,"E",23,43.46557998,-118.01335144,"08/21/2009",2015,"Low","5/20/2017"
"OR00056","SMITH, C.A. RESERVOIR",10,99,"LP-79",,"Cert:1250 OR *","Archer Gulch",17,"COOS",19,"SW REGION","WM",26,"S",13,"W",1,43.34833908,-124.19213867,"04/21/2009",2015,"Low","5/20/2017"
"OR00060","Murray Reservoir",21,467,"M-61","R-344","Cert:8474 OR *","East Camp & Camp Creek Basin & La",9,"BAKE",8,"E REGION","WM",14,"S",38,"E",18,44.35334014,-118.1055603,"06/27/2011",2017,"Low","5/20/2017"
"OR00064","Beede South",22,2078,"D-18b","R-384","Cert:26539 OR *","Unnamed",10,"HARN",10,"E REGION","WM",21,"S",34,"E",13,43.74061965,-118.47238922,"07/21/2015",2018,"Significant","5/20/2017"
"OR00065","Beede North",12,183,"D-18a","R-384","Cert:26539 OR *","Unnamed",10,"HARN",10,"E REGION","WM",21,"S",34,"E",13,43.74700164,-118.47158813,"07/21/2015",2018,"Significant","5/20/2017"
"OR00066","Williams-Sherman Reservoir",25,300,"T-40","R-385","Cert:5815 OR *","North Fork 12 Mile Creek",5,"HARN",11,"SC REGION","WM",19,"S",25,"E",8,43.94226837,-119.73918914,"06/20/2012",2018,"Low","5/20/2017"
"OR00067","MINAM LAKE RESERVOIR COMPANY",14,520,"M-66",,"Cert:4937 OR *","Minam River",8,"WALL",7,"E REGION","WM",4,"S",44,"E",30,45.18524169,-117.35202026,"NSI","NSI","Low","5/20/2017"
"OR00068","FRED SCOTT RESERVOIR",24,800,"F-43",,"Cert:7305 OR *","Indian Ford Creek",11,"MALH",9,"E REGION","WM",32,"S",42,"E",21,42.7523384,-117.55621337,"08/01/2011",2017,"Low","5/20/2017"
"OR00070","PONY CREEK - LOWER",32,400,"P-6",,"Cert:83502 OR *","Pony Creek",17,"COOS",19,"SW REGION","WM",25,"S",13,"W",28,43.37899017,-124.24208831,"10/03/2016",2017,"High","5/20/2017"
"OR00071","ORIANA RESERVOIR",16,480,"O-28",,"Cert:11349 OR *","Oriama & Red Mountain Creeks",12,"HARN",10,"E REGION","WM",40,"S",37,"E",16,42.10213851,-118.38716888,"09/17/2012",2018,"Low","5/20/2017"
"OR00073","CLARK RESERVOIR",10,100,"C-81",,"Cert:12062 OR *","Unnamed",11,"MALH",9,"E REGION","WM",28,"S",40,"E",11,43.1522789,-117.78183746,"NSI","NSI","Low","5/20/2017"
"OR00074","SHUMWAY RESERVOIR",10,590,"S-81",,"Cert:7979 OR *","Unnamed",10,"MALH",9,"E REGION","WM",23,"S",39,"E",20,43.55577087,-117.95187377,"05/19/2016",2022,"Low","5/20/2017"
"OR00076","ECHO LAKE RESERVOIR",10,300,"E-37",,"Cert:7909 OR *","West Eagle Creek",9,"UNIO",8,"E REGION","WM",5,"S",43,"E",21,45.11695098,-117.45680999,"09/10/2009",2015,"Low","5/20/2017"
"OR00077","Traverse Lake Reservoir",10,120,"T-43","R-436","Cert:7909 OR *","West Eagle Creek",9,"UNIO",8,"E REGION","WM",5,"S",43,"E",16,45.12054824,-117.44251251,"09/10/2009",2015,"Low","5/20/2017"
"OR00078","SOUTH ARM RESERVOIR",19,560,"S-121",,"Permit: R  11221 *","Hay Creek",13,"LAKE",12,"SC REGION","WM",40,"S",16,"E",22,42.08256149,-120.80374145,"08/12/2015",2021,"Low","5/20/2017"
"OR00079","LOOKING GLASS RESERVOIR",13,527,"L-33",,"Cert:2924 OR *","Eagle Creek",9,"UNIO",8,"E REGION","WM",5,"S",44,"E",32,45.08274078,-117.36296081,"07/31/2014",2020,"Low","5/20/2017"
"OR00080","Eagle Lake Dam",33,844,"E-26","R-441","Cert:2925 OR *","Eagle Lake",9,"UNIO",8,"E REGION","WM",5,"S",44,"E",17,45.12517929,-117.34205627,"07/11/2014",2020,"Low","5/20/2017"
"OR00081","STIMMEL RESERVOIR",17,300,"S-118",,"Cert:7846 OR *","Cherry Creek",11,"MALH",9,"E REGION","WM",34,"S",46,"E",3,42.62020874,-117.05551147,"08/28/2012",2018,"Low","5/20/2017"
"OR00082","Warm Springs Reservoir (USBR)",100,210000,"W-3","R-457","Cert:3279 OR *","Middle Fork Malheur River",10,"MALH",9,"E REGION","WM",23,"S",37,"E",8,43.58538818,-118.20876312,"NSI","NSI","High","5/20/2017"
"OR00085","Greeley Reservoir",11,800,"G-34","R-475",,"Rock Creek",11,"MALH",9,"E REGION","WM",31,"S",44,"E",10,42.87166976,-117.31166839,"NSI","NSI","Significant","5/20/2017"
"OR00086","DEARY RESERVOIR",27,360,"D-57",,"Cert:11884 OR *","Soldier Creek",11,"MALH",9,"E REGION","WM",32,"S",45,"E",21,42.74774932,-117.20339202,"08/02/2011",2017,"Low","5/20/2017"
"OR00087","SWAMP CREEK RESERVOIR (HARNEY)",18,50,"S-99",,"Cert:6419 OR *","Swamp Creek",5,"HARN",10,"E REGION","WM",22,"S",24,"E",8,43.6794281,-119.85665893,"07/19/2012",2018,"Low","5/20/2017"
"OR00088","ROCK LAKE",28,500,"R-41",,"Cert:8476 OR *","Unnamed",9,"BAKE",8,"E REGION","WM",8,"S",38,"E",31,44.82289123,-118.11158752,"07/21/2010",2016,"Low","5/20/2017"
"OR00089","SALT LICK RESERVOIR",23,300,"S-116",,"Cert:11688 OR *","Stone Creek",11,"MALH",9,"E REGION","WM",32,"S",46,"E",24,42.76063156,-117.02870941,"08/02/2011",2017,"Low","5/20/2017"
"OR00090","BECKER",10,150,"B-71",,"Cert:10087 OR *","North Fork Indian Creek",10,"MALH",9,"E REGION","WM",18,"S",40,"E",7,44.02024841,-117.86804199,"08/24/2012",2018,"Low","5/20/2017"
"OR00091","Pringle Flat Reservoir",15,480,"P-45","R-504","Cert:5817 OR *","Pringle Flat",5,"CROO",11,"SC REGION","WM",19,"S",19,"E",34,43.88055038,-120.43520355,"01/09/2013",2019,"Low","5/20/2017"
"OR00092","BOX SPRINGS RESERVOIR",13,155,"B-72",,"Cert:7978 OR *","Box Springs Creek",10,"MALH",9,"E REGION","WM",23,"S",39,"E",30,43.53969955,-117.97633361,"NSI","NSI","Low","5/20/2017"
"OR00094","Clark Reservoir 2",14,380,"C-82","R-513","Cert:12061 OR *","Owyhee River, Trib to",11,"MALH",9,"E REGION","WM",28,"S",41,"E",7,43.15821075,-117.75624847,"NSI","NSI","Low","5/20/2017"
"OR00095","Clear Creek Reservoir-West Fork",16,257,"C-2","R-515","Cert:29927 OR *","West Fork of Clear Creek",9,"BAKE",8,"E REGION","WM",6,"S",45,"E",12,45.0618515,-117.15084838,"07/11/2014",2017,"Significant","5/20/2017"
"OR00097","BETHEL HILLS",22,30,"B-98",,"Permit: R  14053 *",,2,"POLK",16,"NW REGION","WM",6,"S",4,"W",23,45.02978611,-123.13475555,"08/09/2012",2018,"Low","5/20/2017"
"OR00098","OCHOCO RESERVOIR",130,54000,"O-2",,"Cert:55973 CF RR *","Ochoco Creek",5,"CROO",11,"SC REGION","WM",15,"S",17,"E",5,44.29822921,-120.72618103,"NSI","NSI","High","5/20/2017"
"OR00099","FORCIA AND LARSEN LOG POND",19,90,"LP-37",,"Cert:5012 OR *","Elk Creek",2,"LANE",2,"NW REGION","WM",17,"S",7,"W",25,44.06789016,-123.47715759,"04/14/2016",2019,"Significant","5/20/2017"
"OR00100","SITZ RESERVOIR",22,182,"S-89",,"Cert:8127 OR *","Warmspring Creek",10,"HARN",10,"E REGION","WM",20,"S",34,"E",36,43.79182052,-118.47483825,"05/24/2012",2018,"Low","5/20/2017"
"OR00102","Veterans Reservoir",30,18,"V-14","R-544","Cert:8128 OR *","Veterans Creek",2,"CLAC",20,"NW REGION","WM",1,"S",2,"E",27,45.46001052,-122.55046844,"03/14/2013",2016,"Significant","5/20/2017"
"OR00105","VAN RADEN",27,115,"V-9",,"Cert:55960 OR *","Rock Creek",2,"MULT",18,"NW REGION","WM",2,"N",2,"W",26,45.62874722,-122.90797777,"02/16/2017",2018,"High","5/20/2017"
"OR00107","SPALDING RESERVOIR",17,184,"S-137",,,"Sage Hen Creek",12,"LAKE",10,"E REGION","WM",39,"S",28,"E",13,42.19166564,-119.37000274,"NSI","NSI","Low","5/20/2017"
"OR00108","BARRY, NICK RESERVOIR",27,2136,"B-48",,"Cert:9756 OR *","Jack Creek",12,"LAKE",10,"E REGION","WM",40,"S",27,"E",15,42.09402847,-119.53204345,"11/02/2010",2016,"Low","5/20/2017"
"OR00110","Reeder Gulch Reservoir",110,800,"R-1","R-596","Cert:10843 OR *","Ashland Creek",15,"JACK",13,"SW REGION","WM",39,"S",1,"E",21,42.15666961,-122.71833038,"NSI","NSI","High","5/20/2017"
"OR00111","FISHHOLE CREEK RESERVOIR",17,56,"F-49",,"Cert:8689 OR *","Fishhole Creek",14,"LAKE",12,"SC REGION","WM",38,"S",16,"E",20,42.26013946,-120.85700225,"NSI","NSI","Low","5/20/2017"
"OR00114","LOVE RESERVOIR (BAKER)",30,920,"L-10",,"Cert:8053 OR *","Love - Lawrence - East Love - West",9,"BAKE",8,"E REGION","WM",9,"S",42,"E",24,44.76128005,-117.52126312,"05/03/2017",2020,"Significant","5/20/2017"
"OR00115","HASKINS CREEK DAM",85,704,"H-11",,"Cert:63659 OR *","Haskins Creek; Trib/Yamhill River",2,"YAMH",16,"NW REGION","WM",3,"S",5,"W",18,45.31134033,-123.35701751,"03/27/2015",2018,"Significant","5/20/2017"
"OR00116","Tarheel Creek Reservoir",15,75,"T-31","R-619","Cert:11185 OR *","Tarheel Creek",17,"COOS",19,"SW REGION","WM",25,"S",14,"W",36,43.35927963,-124.30181884,"NSI","NSI","Significant","5/20/2017"
"OR00117","Brown Reservoir (Harney)",32,1100,"B-62","R-635","Cert:9467 OR *","Dry Creek",10,"HARN",10,"E REGION","WM",28,"S",36,"E",3,43.16955947,-118.27433013,"08/15/2012",2018,"Low","5/20/2017"
"OR00118","MAHER DAM",14,300,"M-88",,"Cert:818 CR *","Field Creek",11,"MALH",9,"E REGION","WM",36,"S",48,"E",27,42.418055,-117.072222,"NSI","NSI","Low","5/20/2017"
"OR00119","Holbrook Reservoir",25,740,"H-40","R-640","Cert:10938 OR *","Fishhole Creek, Trib to Sprague River",14,"LAKE",17,"SC REGION","WM",38,"S",16,"E",20,42.26605987,-120.85418701,"08/07/2012",2018,"Low","5/20/2017"
"OR00120","MEHLHORN AND BASSETT",20,216,"M-2",,"Cert:29929 OR *","Clear Creek",9,"BAKE",8,"E REGION","WM",6,"S",46,"E",7,45.05863952,-117.12998199,"07/11/2014",2020,"Low","5/20/2017"
"OR00121","PINE CREEK RESERVOIR (BAKER)",18,2100,"P-3",,,"Pine Creek",9,"BAKE",8,"E REGION","WM",8,"S",38,"E",32,44.8260498,-118.07910156,"06/14/2016",2022,"Low","5/20/2017"
"OR00122","ANTELOPE (MALHEUR)",56,55000,"A-2",,"Cert:75584 OR *","Jack, Antelope, & Jordan Creek",11,"MALH",9,"E REGION","WM",30,"S",45,"E",32,42.90653991,-117.23695373,"11/28/2016",2017,"High","5/20/2017"
"OR00123","Lapham Reservoir",16,213,"L-28","R-665","Cert:11691 OR *","Cold Spring Creek, Trib Lost River",14,"LAKE",17,"SC REGION","WM",39,"S",16,"E",6,42.22275924,-120.86293792,"08/07/2012",2018,"Low","5/20/2017"
"OR00126","THOMPSON VALLEY DIVERSION (SLID)",48,460,"S-3",,"Cert:49856 OR *","Silver and West Fork Silver Creek",13,"LAKE",12,"SC REGION","WM",29,"S",14,"E",5,43.09186172,-121.07930755,"08/01/2016",2019,"Significant","5/20/2017"
"OR00127","GREEN POINT-UPPER (NO. 2)",31,900,"G-9A",,"Cert:48819 OR *","Green Point Creek",4,"HOOD",3,"NC REGION","WM",2,"N",9,"E",22,45.64134979,-121.67623901,"05/11/2016",2019,"Significant","5/20/2017"
"OR00128","GREEN POINT-LOWER (NO. 1)",36,275,"G-9B",,"Cert:48819 OR *","Green Point Creek",4,"HOOD",3,"NC REGION","WM",2,"N",9,"E",22,45.64902114,-121.67160797,"05/11/2016",2019,"Significant","5/20/2017"
"OR00129","Big Three Creeks Lake",14,1400,"T-28b","R-701","Cert:76238 RR CR *","Three Creek",5,"DESC",11,"SC REGION","WM",17,"S",9,"E",15,44.10092926,-121.62341308,"NSI","NSI","Low","5/20/2017"
"OR00130","LITTLE THREE CREEKS LAKE",10,400,"T-28A",,"Cert:76238 RR CR *","Three Creek",5,"DESC",11,"SC REGION","WM",17,"S",9,"E",15,44.1024208,-121.64250183,"NSI","NSI","Low","5/20/2017"
"OR00131","Lloyd Gift Reservoir",12,350,"G-6","R-705","Cert:14355 OR *","Run-Off",14,"KLAM",17,"SC REGION","WM",39,"S",15,"E",3,42.21826934,-120.93990325,"08/07/2012",2018,"Low","5/20/2017"
"OR00132","CROWLEY RESERVOIR",90,3700,"C-10",,"Cert:14350 OR *","Big Crowley Creek",11,"MALH",9,"E REGION","WM",26,"S",39,"E",15,43.31282043,-117.92700195,"05/19/2016",2017,"High","5/20/2017"
"OR00133","GULCH RESERVOIR",17,66,"G-8",,"Cert:12505 OR *","Bryant Mt. Gulch",14,"KLAM",17,"SC REGION","WM",41,"S",12,"E",13,42.01190185,-121.35011291,"12/13/2010",2016,"Low","5/20/2017"
"OR00134","RINK CREEK RESERVOIR",55,246,"R-2",,"Cert:13673 OR *","Rink & Walker Creeks",17,"COOS",19,"SW REGION","WM",28,"S",12,"W",4,43.17612075,-124.1386795,"10/03/2016",2019,"Significant","5/20/2017"
"OR00135","MIDDLE RESERVOIR",39,168,"M-10A",,"Cert:19543 OR *","Bear Creek",1,"CLAT",1,"NW REGION","WM",7,"N",8,"W",13,46.09498977,-123.6171875,"01/12/2016",2017,"High","5/20/2017"
"OR00136","WICKIUP LAKE (CLATSOP)",30,340,"M-10B",,"Cert:19543 OR *","Bear Creek",1,"CLAT",1,"NW REGION","WM",7,"N",7,"W",18,46.08612823,-123.60823059,"01/12/2016",2017,"High","5/20/2017"
"OR00138","BRYANT MT. DAM",15,80,"B-14",,"Cert:20330 OR *","Surface and Seepage Water",14,"KLAM",17,"SC REGION","WM",40,"S",13,"E",29,42.06465911,-121.31825256,"11/28/2012",2018,"Low","5/20/2017"
"OR00139","Pierce Reservoir",29,250,"P-7","R-746","Cert:29608 OR *","Dry Creek",15,"JACK",13,"SW REGION","WM",37,"S",1,"E",20,42.33069992,-122.7348175,"02/03/2010",2016,"Low","5/20/2017"
"OR00142","STRONG RESERVOIR",32,70,"S-101",,"Cert:37563 OR *","Sour Dough Gulch",15,"JOSE",14,"SW REGION","WM",33,"S",6,"W",12,42.71305847,-123.35771942,"04/03/2017",2017,"High","5/20/2017"
"OR00143","HL Creek Reservoir",10,130,"H-55","R-766","Cert:36999 OR *","Eckhardt, H L, & Spring/Trib Catlow Valley",12,"HARN",10,"E REGION","WM",35.5,"S",32.5,"E",30,42.47798919,-118.8787918,"09/13/2011",2017,"Low","5/20/2017"
"OR00144","PACIFIC PLYWOOD LOG POND",15,132,"LP-28",,"Inchoate: T  10642 CF (REG) *","Willamina River",2,"YAMH",16,"NW REGION","WM",6,"S",7,"W",1,45.07669067,-123.47972106,"03/30/2016",2022,"Low","5/20/2017"
"OR00145","Thompson Valley Reservoir",48,30500,"T-3","R-4461","Cert:49858 OR *","Silver Creek",13,"LAKE",12,"SC REGION","WM",30,"S",14,"E",17,42.96422958,-121.08927917,"03/04/2014",2017,"Significant","5/20/2017"
"OR00146","Badger Lake (Hood River)",22,650,"B-8","R-773","Cert:26641 OR *","Badger Creek",5,"HOOD",3,"NC REGION","WM",3,"S",10,"E",16,45.30289077,-121.55941009,"10/18/2013",2019,"Low","5/20/2017"
"OR00147","ROCK CREEK DAM (WASCO)",51,1500,"R-4",,"Cert:46366 OR *","Rock, North Fork Gate, & Threemile",5,"WASC",3,"NC REGION","WM",4,"S",11,"E",14,45.21915817,-121.38361358,"05/11/2016",2017,"High","5/20/2017"
"OR00148","DAILEY RESERVOIR LOG POND",22,575,"LP-66",,"Cert:28393 CF *","Dailey Creek",15,"JACK",13,"SW REGION","WM",33,"S",3,"E",35,42.65552139,-122.43802642,"01/20/2010",2016,"Low","5/20/2017"
"OR00150","Camp Creek Reservoir (Crook)",15,189,"C-50a","R-788","Cert:29099 OR *","Camp Creek",5,"CROO",11,"SC REGION","WM",19,"S",19,"E",1,43.95072174,-120.38881683,"08/24/2015",2021,"Low","5/20/2017"
"OR00151","Skull Creek Reservoir",30,820,"S-12","R-796","Cert:34344 OR *","Big & Sittle Skull Creeks",12,"HARN",10,"E REGION","WM",36,"S",32.75,"E",23,42.39968872,-118.75235748,"09/13/2011",2017,"Low","5/20/2017"
"OR00152","White Line Reservoir",21,2962,"W-11","R-801","Cert:33173 OR *","Swan Lake, Trib to",14,"KLAM",17,"SC REGION","WM",37,"S",9,"E",23,42.33702087,-121.72812652,"11/03/2010",2016,"Low","5/20/2017"
"OR00155","DILLARD LUMBER CO DIKE",15,285,"LP-10",,"Cert:91143 CF *;Cert:75434 RR *","South Umpqua River",16,"DOUG",15,"SW REGION","WM",28,"S",6,"W",33,43.09133148,-123.41722106,"12/18/2012",2015,"Significant","5/20/2017"
"OR00157","Rock Creek-Upper (Harney)",45,6900,"R-8","R-836","Cert:33601 OR *","Rock Creek",12,"HARN",10,"E REGION","WM",33,"S",29,"E",27,42.68684005,-119.30654907,"08/15/2013",2019,"Low","5/20/2017"
"OR00158","Three Mile Creek Reservoir",12,1600,"T-45","R-838","Cert:33512 OR *","Three Mile Creek",12,"HARN",10,"E REGION","WM",35.5,"S",32,"E",36,42.48714065,-118.90756988,"09/13/2011",2017,"Low","5/20/2017"
"OR00159","FOSTER LOG POND",17,375,"LP-41",,"Cert:19563 OR *","South Santiam River",2,"LINN",2,"NW REGION","WM",13,"S",1,"E",26,44.40628051,-122.66226196,"07/19/2016",2017,"High","5/20/2017"
"OR00160","MUNN RESERVOIR",23,205,"M-12",,"Cert:27334 OR *","Middle Fork Burnt River",9,"BAKE",8,"E REGION","WM",12,"S",36,"E",23,44.511993,-118.250453,"09/25/2013",2019,"Low","5/20/2017"
