dam_ID,dam_name,dam_height,storage,file,permit,water_right,exempt_category,river,basin,county,wm_district,wm_region,meridian,township,township_char,range,range_char,sctn,latitude,longitude,last_inspection_state,next_inspection,hazard
OR00372,Bibby Dam,35,200,B-89,R-2594,Cert:35261 OR *,,"Buck Hollow, Trib to",5,SHER,3,NC REGION,WM,4,S,16,E,22,45.20460128,-120.80233001,2009-06-09,2015,L
OR00373,Cottonwood Meadows,25,460,C-52,R-2610,Cert:40197 OR *,,Cottonwood Creek,13,LAKE,12,SC REGION,WM,38,S,18,E,7,42.28218841,-120.63575744,2013-08-21,2016,S
OR00374,Goodrich Reservoir,65,603,G-2,R-2615,Cert:39253 OR *,,Goodrich Creek,9,BAKE,8,E REGION,WM,9,S,38,E,4,44.8103218,-118.05863189,2014-07-02,2017,S
OR00376,Willow Valley Reservoir,34,2200,W-20b,R-2631,Permit: R  2631 *,,East Fork Lost River,14,KLAM,17,SC REGION,WM,41,S,14.5,E,13,42.00553894,-121.11270141,2015-08-12,2021,L
OR00377,Muddy Creek Reservoir,25,1600,M-48,R-2648,Cert:40764 OR *,,Muddy Creek,13,LAKE,12,SC REGION,WM,39,S,19,E,7,42.19470977,-120.52153015,2009-05-21,2015,S
OR00378,Antelope Flat (Crook),33,2000,A-5,R-2657,Cert:42619 OR *,,Bear & Faught Creeks & 2 tribs,5,CROO,11,SC REGION,WM,18,S,19,E,13,44.00490951,-120.39317321,2011-05-12,2017,L
OR00379,Wade Reservoir,82,1100,W-45,,,,Maple Creek,15,JACK,13,SW REGION,WM,36,S,2,E,10,42.45101165,-122.57077026,2015-04-22,2016,H
OR00380,Upper Tumalo Reservoir,11,1100,U-1,R-2743,Cert:76684 CF *,,Tumalo Creek,5,DESC,11,SC REGION,WM,16,S,11,E,33,44.13933944,-121.4151535,2014-04-28,2020,L
OR00381,Crescent Lake Dam,38,119600,C-9,R-2744,Cert:76637 CF *,,Crecent Lake,5,KLAM,11,SC REGION,WM,24,S,6,E,11,43.50207901,-121.97354125,2015-08-10,2016,H
OR00382,Moore-Emory,31,166,M-49,R-2862,Cert:51552 RR *,,Trib to Maxfield Creek,2,BENT,16,NW REGION,WM,10,S,6,W,22,44.69023895,-123.41616821,2010-12-08,2016,L
OR00383,Cob Creek Dam,29,128,C-21,R-2863,Cert:37022 OR *,,"Visher & Cob Creeks, Trib South Fork Malheur",10,MALH,10,E REGION,WM,25,S,37,E,5,43.4343605,-118.20410156,2014-10-08,2020,L
OR00384,Lorence Lake,25,160,L-19,R-2870,Cert:31502 OR *,,"Drift Creek, Trib to",2,MARI,16,NW REGION,WM,7,S,1,W,23,44.95064163,-122.7651596,2013-06-21,2015,H
OR00387,Star Lake,53,290,S-110,R-2999,Cert:58668 OR *,,Lick Creek,15,JACK,13,SW REGION,WM,35,S,2,E,32,42.48917007,-122.61538696,2011-07-28,2017,L
OR00389,Marx Reservoir #1,27,85,M-70,R-3152,Cert:36793 OR *,,Mud Slough-McMahon Branch,2,POLK,16,NW REGION,WM,7,S,4,W,4,44.99330139,-123.18811798,2012-07-25,2018,L
OR00390,Willow Creek 3 (Malheur),110,49000,W-6,R-9219,Cert:66956 OR *,,Willow Creek,10,MALH,9,E REGION,WM,14,S,41,E,15,44.35308074,-117.67150115,2015-07-22,2016,H
OR00391,Buffalo Lake Dam,20,280,B-74,R-3196,Cert:44467 OR *,,Hall Creek,12,GRAN,10,E REGION,WM,18,S,31,E,26,43.97549819,-118.95915985,2009-04-16,2015,L
OR00392,Barnes Bros. Reservoir,32,100,B-54,R-3214,Cert:33954 OR *,,"Beaver Creek, Trib to",2,MARI,16,NW REGION,WM,7,S,1,W,15,44.95801925,-122.80004119,2014-10-23,2017,S
OR00393,Crater Lake,31,230,C-73,R-3215,Cert:64261 OR *,,Run-Off from Watershed,9,BAKE,8,E REGION,WM,6,S,44,E,12,45.058609,-117.27362823,2010-10-21,2016,L
OR00394,Kay Lake,33,50,C-57,R-5099,Cert:40607 OR *,,"McKay Creek, Trib to",2,WASH,18,NW REGION,WM,2,N,2,W,7,45.66614913,-122.9879074,2015-03-18,2016,H
OR00395,Lake Creek Dam,77,1360,L-24,R-3232,Cert:56186 OR *,,Lake Creek,15,JACK,13,SW REGION,WM,37,S,2,E,6,42.37558,-122.624594,2015-04-22,2016,H
OR00396,Pettit Reservoir,24,290,P-43,R-3247,Cert:33302 OR *,,Brush Creek,2,MARI,16,NW REGION,WM,7,S,1,W,3,44.99169921,-122.79923248,2015-09-21,2018,S
OR00397,Merwin Reservoir #2,48,174,M-77,R-3258,Cert:48788 OR *,,Watson Creek,5,CROO,11,SC REGION,WM,16,S,22,E,32,44.13840103,-120.11731719,2014-06-09,2020,L
OR00398,Paiute Reservoir,21,650,P-64,R-3289,Cert:35224 OR *,,Foley Creek,12,HARN,10,E REGION,WM,22,S,31,E,31,43.6210289,-119.0413208,2015-03-27,2021,L
OR00399,Zoglmann Reservoir,27.7,3000,Z-6,R-3291,Cert:39669 OR *,,Gumboot Canyon,12,HARN,10,E REGION,WM,23,S,27,E,2,43.60654067,-119.45893859,2009-07-20,2015,L
OR00400,Sams Valley Reservoir,60,1200,S-39,R-3421,Cert:35844 OR *,,"East Fork Sams, West Fork Sams, & Minera",15,JACK,13,SW REGION,WM,35,S,2,W,18,42.52774047,-122.9895935,2015-04-23,2016,H
OR00401,Osborne Creek Dam,60,775,O-15,R-3424,Cert:56184 OR *,,Osborne Creek,15,JACK,13,SW REGION,WM,36,S,1,E,25,42.4155693,-122.65412139,2015-04-22,2016,H
OR00402,Smith Reservoir,19,920,S-56,,,,"Dobe, Pine, L.Pine, Rat Creek",14,KLAM,17,SC REGION,WM,40,S,14,E,16,42.1033287,-121.19252014,2003-09-24,2009,L
OR00403,Bauer Reservoir,15,77,B-86,R-3521,Cert:34821 OR *,,"Beaver Creek, Trib to",2,WASH,18,NW REGION,WM,2,N,5,W,11,45.67515182,-123.27783966,2010-10-29,2016,L
OR00405,"Empire Lake, Lower",10,192,E-8,R-3527,Cert:80053 OR *,,"Chickness Creek, Trib to",17,COOS,19,SW REGION,WM,25,S,13,W,17,43.39648056,-124.26306152,2015-09-30,2021,L
OR00406,Balm Creek Reservoir,65,3550,B-1,R-3679,Cert:55505 OR *,,Balm Creek - Balm Creek & Union Sp,9,BAKE,8,E REGION,WM,7,S,43,E,7,44.96987915,-117.49099731,2015-10-12,2018,S
OR00407,Waller No. 3,64,510,W-58b,R-3688,Cert:39269 OR *,,Rudio Creek,6,GRAN,4,NC REGION,WM,9,S,26,E,36,44.74349975,-119.53684997,2008-11-19,2014,L
OR00408,Calderwood Reservoir,12,1477,C-78,X9-345,,FEDERAL,Fish Creek,13,LAKE,12,SC REGION,WM,38,S,25,E,27,42.24782943,-119.76644134,,,L
OR00409,Dixonville Log Pond,30,1163,LP-7,R-3861,Cert:35730 OR *,,Livingston Creek and Deer Creek,16,DOUG,15,SW REGION,WM,27,S,4,W,18,43.21334838,-123.21566009,2012-10-10,2015,S
OR00412,Ruckmans Reservoir,20,76,R-37,R-3883,Cert:40820 OR *,,Grande Ronde River,8,UNIO,6,E REGION,WM,1,S,39,E,33,45.43181991,-117.93609619,2012-10-05,2018,L
OR00413,Squaw Creek ID Reservoir,18,600,S-103,R-3902,Permit: R  3902 *,,Squaw Creek,5,DESC,11,SC REGION,WM,15,S,10,E,14,44.26821899,-121.49845123,2014-04-28,2020,L
OR00414,Lippert Reservoir 2 (Upper),30,365,L-13a,R-3942,Cert:42082 OR *,,Powell & Meeting Creeks,15,JOSE,14,SW REGION,WM,38,S,5,W,11,42.27341079,-123.26492309,2013-06-17,2019,L
OR00415,Croft Reservoir,43,137,C-59,R-3968,Cert:36433 OR *,,Gibson Gulch,2,POLK,16,NW REGION,WM,7,S,4,W,13,44.96363067,-123.11544036,2014-08-21,2015,H
OR00417,S-M-S No. 1,30,57,S-30,R-3978,Cert:35881 OR *,,"Pudding River, Trib to",2,MARI,16,NW REGION,WM,8,S,1,W,2,44.90885925,-122.77601623,2013-02-13,2019,L
OR00418,Fishhawk Lake,35,1650,F-23,R-3982,Cert:38688 OR *,,,1,CLAT,1,NW REGION,WM,6,N,6,W,1,46.03189086,-123.3680191,2015-02-12,2018,S
OR00419,Grindstone Reservoir,34,427,G-33,R-4129,Cert:50591 OR *,,Grindstone Creek,5,CROO,11,SC REGION,WM,18,S,25,E,33,43.97328186,-119.71853637,2012-06-20,2018,L
OR00420,Oxbow Dam (Klamath),22,309,O-20,,,,"Barnes Creek, Trib to",14,KLAM,17,SC REGION,WM,39,S,15,E,26,42.15449905,-120.90212249,2011-07-08,2017,L
OR00421,Vanderzanden Reservoir,19,84,V-12,R-4545,Cert:43527 OR *,,McKay Creek,2,WASH,18,NW REGION,WM,1,N,2,W,20,45.56332015,-122.9689331,2014-12-16,2020,L
OR00422,Agate Dam,77,5450,A-18,R-4563,Cert:79912 OR *,FEDERAL,"Dry Creek, Antelope Creek & Other",15,JACK,13,SW REGION,WM,36,S,1,W,25,42.41495132,-122.77494812,,,H
OR00423,Marks Lake Dam,20,80,M-90,R-4575,Cert:42291 OR *,,Marks Creek,5,CROO,11,SC REGION,WM,13,S,19,E,3,44.46543121,-120.42939758,2014-05-28,2020,L
OR00424,"Campbell, John Reservoir",23,310,C-84,R-4577,Cert:39436 OR *,,"Silvies River, Trib to",12,HARN,10,E REGION,WM,24,S,30,E,26,43.46540069,-119.0907135,2015-03-27,2021,L
OR00425,Clemens Reservoir,35,450,C-85,R-4578,Cert:35628 OR *,,Yellowjacket Creek,12,HARN,10,E REGION,WM,19,S,29,E,32,43.87683868,-119.26841735,2015-04-02,2021,L
OR00426,Pierson-Upper,31,18,P-53,R-4582,Cert:35690 OR *,,"Tualatin River, Trib to",2,WASH,18,NW REGION,WM,1,S,3,W,28,45.45642852,-123.06060791,2015-03-17,2018,S
OR00427,Tall Timber Lake,28,29,T-34,R-4608,Cert:38450 OR *,,Salt Gulch Creek,15,JOSE,14,SW REGION,WM,38,S,7,W,7,42.27814865,-123.58077239,2013-02-04,2019,L
OR00428,Randall Reservoir,38,725,R-18,R-4613,Cert:50384 OR *,,"Lost River, Trib to",14,KLAM,17,SC REGION,WM,39,S,12,E,23,42.16434097,-121.2549591,2010-11-05,2016,L
OR00429,Bradshaw 2,20,60,B-83,R-4614,Cert:33515 OR *,,Fork of Lake Creek,15,JACK,13,SW REGION,WM,37,S,2,E,6,42.3748703,-122.63452148,2013-07-19,2016,S
OR00430,Pearson Reservoir,64,50,P-59,R-4627,Cert:43867 OR *,,"Christensen Creek, Trib to",2,WASH,18,NW REGION,WM,1,S,3,W,35,45.435009,-123.02793121,2013-01-29,2019,L
OR00433,Kauer Reservoir,35,160,K-30,R-4694,Cert:40063 OR *,,"South Yamhill River, Trib to",2,YAMH,16,NW REGION,WM,4,S,4,W,34,45.17858886,-123.1603775,2009-03-20,2015,L
OR00434,River Bend No. 2,30,50,P-41,R-4697,Cert:40582 OR *,,"Willamette River, Trib to",2,MARI,16,NW REGION,WM,9,S,3,W,5,44.81605148,-123.09034729,2009-01-21,2015,L
OR00435,Cottonwood (Drewsey),73,4500,C-30,R-4699,Cert:79376 OR *,,Cottonwood Creek,10,HARN,10,E REGION,WM,19,S,36,E,9,43.92758941,-118.30075073,2014-10-06,2020,S
OR00436,Osburn Reservoir,34,52,O-23,R-4701,Cert:46803 OR *,,"Trout Creek, Trib to",3,MULT,20,NW REGION,WM,1,S,5,E,18,45.48374176,-122.24376678,2011-11-17,2017,L
OR00437,Ferry Creek,65,167,F-25,R-4720,Cert:46860 OR *,,Ferry Creek,17,CURR,19,SW REGION,WM,40,S,13,W,32,42.07373809,-124.27144622,2015-10-06,2016,H
OR00438,Collins Dam (Wheeler),33,255,C-66,R-4726,Cert:50645 OR *,,Fry Creek,6,WHEE,4,NC REGION,WM,12,S,23,E,28,44.50191879,-119.97589874,2008-12-04,2014,L
OR00439,Simpson Reservoir (Jackson),26,90,S-85,R-4730,Cert:45289 OR *,,Ramsey Canyon,15,JACK,13,SW REGION,WM,35,S,2,W,5,42.5594902,-122.97022247,2008-12-12,2014,L
OR00440,Graham,32,220,S-60,R-4736,Cert:39007 OR *,,Dilley Creek,2,WASH,18,NW REGION,WM,1,S,4,W,11,45.49161911,-123.13600158,2010-10-27,2016,L
OR00441,"Kinnan, Frank Reservoir",45,395,K-23,R-4739,Cert:51764 OR *,,Middle Fork Coquille River,17,DOUG,19,SW REGION,WM,29,S,8,W,6,43.07341003,-123.68315124,2014-10-30,2017,S
OR00442,Bradshaw,47,785,B-24,R-4747,Cert:68738 RR *,,"Lost Creek, Harrison Creek and",15,JACK,13,SW REGION,WM,37,S,1,E,1,42.37947082,-122.6550064,2013-07-19,2016,S
OR00443,Plat I Reservoir,28,2760,P-38,R-4751,Cert:76598 OR *,,Sutherlin Creek,16,DOUG,15,SW REGION,WM,25,S,5,W,14,43.39345169,-123.25440979,2015-04-21,2016,H
OR00444,Rohde Reservoir,17,146,R-27,R-4766,Cert:39288 OR *,,"Ash Swale, Trib to",2,POLK,16,NW REGION,WM,6,S,4,W,29,45.02318954,-123.20184326,2014-03-14,2020,L
OR00445,Pons Lake Reservoir,20,785,P-55,R-4806,Permit: R  4806 *,,Bridge Creek& Cottonwood Creek,12,GRAN,10,E REGION,WM,18,S,32,E,6,44.04301834,-118.9327774,2009-04-16,2015,L
OR00446,Cyrus Reservoir,17,113,C-79,R-12074,Cert:89872 OR *,,Squaw Creek,5,DESC,11,SC REGION,WM,15,S,10,E,13,44.26950073,-121.48412322,2014-04-28,2020,L
OR00447,Weaver Reservoir,22,55,W-59,R-4818,Cert:42647 OR *,,Yoncalla Creek (offstream),16,DOUG,15,SW REGION,WM,23,S,5,W,28,43.54182052,-123.30065917,2009-11-04,2015,L
OR00448,Mt. Springs Ranch Dam,40,95,M-52,R-4840,Cert:87340 CF *,,Gooseneck Creek,2,POLK,16,NW REGION,WM,6,S,7,W,35,45.00088119,-123.51159667,2013-02-27,2016,S
OR00449,Bear Creek (Astoria),90,800,B-47,R-4842,Cert:82234 OR *,,Bear Creek,1,CLAT,1,NW REGION,WM,7,N,8,W,2,46.11788177,-123.63986968,2015-05-06,2016,H
OR00450,"Sester, William H.  Reservoir 1",32,55,S-38,R-4859,Inchoate: T  8067 CF (REG) *,,"Beaver Creek, Trib to",3,MULT,20,NW REGION,WM,1,S,4,E,16,45.48022842,-122.31771087,2013-04-18,2016,S
OR00451,Clear Branch Creek Dam,109,4000,C-60,R-4862,Cert:89356 CR *,FEDERAL,Clear Branch,4,HOOD,3,NC REGION,WM,1,S,9,E,22,45.46001052,-121.65786743,,,H
OR00452,Mainline 1,57,500,M-58,R-4871,Cert:52348 OR *,,Maury Creek,5,CROO,11,SC REGION,WM,17,S,21,E,10,44.10575103,-120.20469665,2015-09-14,2018,S
OR00453,Jubilee Lake Dam,50,1579,J-16,R-4874,Cert:40153 OR *,,Mottet Creek,8,UNIO,6,E REGION,WM,4,N,39,E,17,45.82685852,-117.95948791,2012-07-24,2018,L
OR00454,Bates Reservoir,26,100,B-67,R-988,Cert:21576 OR *,,"John Day, Middle Fork",6,GRAN,4,NC REGION,WM,11,S,35,E,21,44.59019851,-118.51349639,2013-05-09,2019,L
OR00455,Helms Reservoir,25,120,H-52,R-4875,Cert:37449 OR *,,"South Santiam River, Trib to",2,LINN,2,NW REGION,WM,10,S,2,W,17,44.69408035,-122.95762634,2012-05-11,2018,L
OR00456,Lind Reservoir,18,112,L-31,R-4913,Cert:38606 OR *,,"McKay Creek, Trib to",2,WASH,18,NW REGION,WM,2,N,3,W,36,45.60712114,-123.0099665,2014-02-20,2017,S
OR00457,Big Miller Lake,20,134,M-8,R-4929,Cert:40542 OR *,,Miller Creek,15,JOSE,13,SW REGION,WM,40,S,5,W,28,42.06529998,-123.30269622,2010-08-05,2016,L
OR00458,Officer Reservoir,34,400,O-16,R-4933,Cert:42495 OR *,,Utley Creek,6,GRAN,4,NC REGION,WM,18,S,28,E,20,43.990139,-119.39031982,2013-05-07,2019,L
OR00459,Frog Pond #1,22,60,F-30,R-4950,Cert:56179 OR *,,"Lost Creek, Harrison Creek, and ot",15,JACK,13,SW REGION,WM,37,S,1,E,1,42.37680816,-122.65393066,2013-07-19,2016,S
OR00460,Harrison,26,500,H-47,R-4951,Cert:56180 OR *,,"Lost Creek, Harrison Creek, and ot",15,JACK,13,SW REGION,WM,37,S,1,E,1,42.37535858,-122.65107727,2013-07-19,2016,S
OR00461,Unger-Bill Dam,39,97,U-6,,,,"Tualatin River, Trib to",2,WASH,18,NW REGION,WM,1,S,3,W,21,45.46891021,-123.05805969,2015-03-19,2018,S
OR00462,Spada Reservoir #1 (Champoeg),22,329,S-73,R-4964,Cert:83867 CF *,,Champoeg Creek,2,MARI,16,NW REGION,WM,4,S,2,W,22,45.21207809,-122.90840911,2013-03-07,2019,L
OR00463,Cooper Creek Reservoir,84,5200,C-61,R-4965,Cert:48586 OR *,,Cooper Creek,16,DOUG,15,SW REGION,WM,25,S,5,W,22,43.37997817,-123.28209686,2015-04-21,2016,H
OR00464,Crow Creek Reservoir (Wasco),113,1150,C-62,R-4988,Cert:44917 OR *,,South Fork Mill Creek,4,WASC,3,NC REGION,WM,1,S,11,E,17,45.4755516,-121.45439147,2015-11-17,2016,H
OR00465,Wallowa Lake Dam,39,49257,W-2,R-5018,Cert:87896 CF *,,Wallowa River,8,WALL,7,E REGION,WM,3,S,45,E,5,45.33514022,-117.22263336,2015-08-27,2016,H
OR00466,Wirth Reservoir,36,59,W-44,R-5031,Cert:42464 OR *,,Big Creek,9,BAKE,8,E REGION,WM,7,S,41,E,1,44.98815917,-117.64485168,2010-10-01,2016,L
OR00468,Werner (upper),28,60,W-26a,R-5062,Cert:54497 OR *,,"Louse Creek, Trib to",15,JOSE,14,SW REGION,WM,35,S,6,W,28,42.50117874,-123.4171524,2014-04-20,2018,L
OR00469,Hunter Reservoir (Harney),40,1400,H-18,R-5065,Cert:48240 OR *,,Little Crane Creek,10,HARN,10,E REGION,WM,24,S,35,E,27,43.46242141,-118.41110992,2013-10-15,2016,S
OR00470,Olalla Dam,83,4300,O-10,R-5069,Cert:66643 OR *,,West Ollalla Creek,18,LINC,1,NW REGION,WM,10,S,10,W,20,44.6809616,-123.93034362,2015-05-19,2016,H
OR00471,Faye Canyon Reservoir,13,380,F-17,R-5115,Cert:39769 OR *,,Fay Canyon,12,HARN,10,E REGION,WM,25,S,29,E,20,43.3852806,-119.2737503,2010-06-24,2016,L
OR00472,Mill Creek Dam (Toledo),70,250,M-9,R-5132,Cert:42193 OR *,,Mill Creek,18,LINC,1,NW REGION,WM,11,S,10,W,33,44.5736885,-123.90953063,2015-05-19,2016,H
OR00473,Big Creek Reservoir #2 (Upper),56,1190,B-28b,R-5134,Cert:48627 OR *,,Big Creek,18,LINC,1,NW REGION,WM,10,S,11,W,33,44.65737915,-124.03150177,2015-05-19,2016,H
OR00475,Duggan Dam,23,50,D-48,R-5140,Cert:42925 OR *,,Snider Creek (offstream),15,JACK,13,SW REGION,WM,35,S,2,W,33,42.47750854,-122.94769287,2015-04-23,2016,H
OR00476,Beyer Reservoir,36,280,B-50,R-5148,Cert:45248 OR *,,Beaver Creek,2,CLAC,16,NW REGION,WM,6,S,2,E,22,45.03469085,-122.55654907,2014-07-08,2017,S
OR00477,Stringer Reservoir,26,135,S-94,R-5153,Cert:39580 OR *,,Holdridge Creek,2,YAMH,16,NW REGION,WM,5,S,3,W,7,45.14429855,-123.10487365,2014-10-24,2019,L
OR00478,Kreder Reservoir,22,162,K-35,R-5155,Cert:41740 OR *,,"Luckimute River, Trib to",2,POLK,16,NW REGION,WM,9,S,4,W,21,44.77695083,-123.18596649,2012-08-22,2018,L
OR00479,"Schmidt, Howard Reservoir",35,34,S-112,R-5245,Inchoate: T  10726 CF (REG) *,,"East Fork McKay Creek, Trib to",2,WASH,18,NW REGION,WM,2,N,2,W,4,45.69094848,-122.93778228,2013-11-14,2018,L
OR00480,Pine Hollow Reservoir,65,5300,P-39,R-5250,Cert:51484 OR *,,Badger Creek & Pine Hollow Creek,5,WASC,3,NC REGION,WM,4,S,12,E,10,45.24272918,-121.2906723,2015-05-06,2016,H
OR00481,OConnor Puddle,12,94,O-22,R-5253,Cert:85821 CR *,,Reservoir Creek,14,KLAM,17,SC REGION,WM,35,S,14,E,7,42.54996109,-121.09757232,2010-11-04,2016,L
OR00482,Bailey Reservoir (aka Kalsch),12,50,B-85,R-5260,Cert:38750 OR *,,"Tualitin River, Trib to",2,WASH,18,NW REGION,WM,1,S,3,W,13,45.49053955,-122.99559783,2010-10-27,2016,L
OR00483,Moon Reservoir,38,5650,S-28,R-5266,Permit: R  5266 *,,Silver Creek,12,HARN,10,E REGION,WM,25,S,28,E,17,43.40623092,-119.39803314,2014-07-15,2017,S
OR00484,McKay Acres Dam,15,510,M-57,R-5064,Cert:40121 OR *,,Champoeg,2,MARI,16,NW REGION,WM,4,S,2,W,27,45.19984817,-122.91934967,2009-02-05,2015,L
OR00486,Martin Bros. Flashboard Dam,10,71,M-68,R-5327,Cert:45207 OR *,,"Ash Swale, Trib to",2,POLK,16,NW REGION,WM,6,S,4,W,30,45.0234909,-123.21595001,2010-12-15,2016,L
OR00487,Morrow Brothers (Jefferson),23,170,W-67,R-5356,Cert:43261 OR *,,Willow Creek,5,JEFF,11,SC REGION,WM,12,S,15,E,19,44.50592041,-120.96898651,2015-07-29,2018,L
OR00489,Teasel Creek,21,90,T-38,R-5377,Cert:44147 OR *,,Teasel Creek,2,CLAC,16,NW REGION,WM,5,S,2,E,29,45.10663986,-122.58152008,2014-01-16,2020,S
OR00490,Fidel Bros. Irr. Reservoir,20,100,F-34,R-5378,Inchoate: T  6355 CF (REG) *,,Salt Creek,2,YAMH,16,NW REGION,WM,2,S,4,W,31,45.35580825,-123.21929168,2015-11-12,2021,L
OR00491,Updegrave,30,172,U-8,R-5405,Cert:38067 OR *,,"North Umpqua River, Trib to",16,DOUG,15,SW REGION,WM,26,S,4,W,24,43.29438018,-123.12213134,2016-02-02,2017,H
OR00492,Rogers - Joseph Reservoir,31,40,R-23,R-10509,Cert:63318 OR *,,Unnamed,2,CLAC,16,NW REGION,WM,3,S,1,W,31,45.26583099,-122.85668945,2015-03-12,2018,S
OR00493,Mainline 3,37,350,M-60,R-5409,Cert:52350 OR *,,Cemetery Creek,5,CROO,11,SC REGION,WM,17,S,21,E,15,44.09210968,-120.19557189,2014-08-26,2017,S
OR00495,"Walters, Glenn #1 - Large",25,250,W-61,R-5416,Cert:43717 OR *,,"Tualatin River, Trib to",2,WASH,18,NW REGION,WM,1,S,3,W,21,45.47505187,-123.0560913,2010-12-15,2016,S
OR00496,Wageman,40,70,W-79,R-5427,Cert:46151 OR *,,"Ten Mile Creek, Trib to",16,DOUG,15,SW REGION,WM,28,S,8,W,25,43.10406112,-123.59004974,2015-03-24,2016,H
OR00497,"Deardorff, Betty Jane",65,1300,D-54,R-5437,Cert:41501 OR *,,Little Coal Creek,2,CLAC,16,NW REGION,WM,6,S,2,E,34,45.00004959,-122.55033111,2014-06-18,2017,S
OR00498,South Fork Reservoir,28,625,S-15,R-5438,Cert:39771 OR *,,South Fork Malheur River,10,HARN,10,E REGION,WM,27,S,36,E,7,43.23426055,-118.33255004,2011-09-22,2020,S
OR00499,Lostine Reservoir,14,540,L-30,R-5440,Cert:50404 OR *,,Lostine River,8,WALL,7,E REGION,WM,1,S,43,E,34,45.43703079,-117.42529296,2011-07-26,2017,L
OR00500,Mompano Reservoir,39,780,M-53,R-5444,Cert:42471 OR *,,Abernethy Creek,2,CLAC,20,NW REGION,WM,3,S,2,E,13,45.31455993,-122.50447845,2015-12-15,2016,H
OR00501,Penland Lake Reservoir,29,590,P-40,R-5445,Cert:45129 OR *,,Mallory Creek,6,MORR,4,NC REGION,WM,5,S,28,E,22,45.11676025,-119.31733703,2010-09-30,2016,L
OR00503,Peterson Creek Reservoir,25,155,P-22,R-5479,Cert:81126 OR *,,Peterson Creek,5,CROO,11,SC REGION,WM,14,S,21,E,12,44.36505889,-120.14607238,2014-10-27,2019,L
OR00504,Case Creek Dam 1,23,352,C-65,R-548045,,,Case Creek,2,MARI,16,NW REGION,WM,4,S,2,W,24,45.20475006,-122.88526153,2014-10-23,2019,L
OR00506,Sevcik Lake,25,64,S-93,R-5524,Cert:43812 OR *,,Parrott Creek,2,CLAC,20,NW REGION,WM,3,S,1,E,23,45.29978179,-122.65675354,2012-05-21,2018,L
OR00507,"Baker, ER (Yamhill)",56,250,B-49,R-6237,Cert:57769 OR *,,"Chehalem Creek, Trib to",2,YAMH,16,NW REGION,WM,3,S,3,W,5,45.34463119,-123.08979797,2014-05-28,2015,H
OR00508,Panther Creek Reservoir,49,100,P-46,R-5527,Cert:85744 OR *,,Panther Creek,2,YAMH,16,NW REGION,WM,3,S,5,W,18,45.30471038,-123.35009765,2012-07-07,2015,S
OR00509,Mainline 2,36,55,M-59,R-5534,Cert:52352 OR *,,Sarvis Creek,5,CROO,11,SC REGION,WM,17,S,21,E,9,44.11054992,-120.21910858,2015-09-14,2018,S
OR00510,Crowe Reservoir #2 (Polk),24,110,C-76,R-5536,Cert:47643 OR *,,"Yamhill Reservoir, Trib to",2,POLK,16,NW REGION,WM,6,S,6,W,14,45.05733871,-123.39511108,2012-06-01,2018,L
OR00511,Farnam Creek Reservoir,32,132,F-39,R-5537,Cert:44510 OR *,,Farnam Creek,18,LANE,2,NW REGION,WM,20,S,5,W,11,43.84418106,-123.25006866,2012-04-11,2015,S
OR00512,Clark Lake,15,89,C-80,R-5538,Cert:42571 OR *,,Lake Creek,6,WHEE,21,NC REGION,WM,8,S,23,E,9,44.89086914,-119.97788238,2013-05-07,2019,L
OR00513,McMullen Creek Dam,33,2000,M-46,R-5552,Cert:39889 OR *,,McMullen Creek,15,JOSE,14,SW REGION,WM,38,S,7,W,18,42.26544189,-123.57923126,2015-03-23,2016,H
OR00514,McGuire Reservoir,111,9790,M-43,R-13942,Cert:86306 OR *,,Nestucca River,1,YAMH,16,NW REGION,WM,3,S,6,W,15,45.3092308,-123.40865325,2015-03-27,2016,H
OR00515,"Fisher, James O Reservoir",34,36,F-21,R-5582,Cert:44353 OR *,,"Sly Creek, Trib to",2,COLU,18,NW REGION,WM,4,N,2,W,36,45.78863143,-122.87684631,2013-11-14,2018,L
OR00516,Oberg Reservoir,35,80,O-21,R-5592,Cert:88972 CF *,,"Yamhill River, Trib to",2,YAMH,16,NW REGION,WM,3,S,4,W,19,45.30031967,-123.22142028,2015-11-12,2021,L
OR00517,Stinking Water Creek,71,2405,S-57,R-5601,Cert:51574 OR *,,Stinking Water Creek,10,HARN,10,E REGION,WM,22,S,35,E,20,43.65232849,-118.43923187,2015-07-21,2018,S
OR00518,Hershiser Reservoir,42,38,H-54,R-5631,Cert:86637 CF *,,"Willamette River, Trib to",2,CLAC,16,NW REGION,WM,3,S,1,E,10,45.33082222,-122.66505833,2012-08-14,2018,L
OR00519,Funrue,29,126,F-26,R-5651,Cert:45202 OR *,,"Drift Creek, Trib to",2,MARI,16,NW REGION,WM,7,S,1,W,24,44.94955062,-122.75794219,2014-12-11,2017,S
OR00520,Mission Creek Dam and Reservoir Company,25,1590,M-54,R-5667,Cert:50722 OR *,,Mission Creek,2,MARI,16,NW REGION,WM,4,S,2,W,8,45.23188018,-122.95375823,2016-02-09,2022,L
OR00521,Watson Reservoir,32,2102,W-38,R-5707,Cert:48786 OR *,,Watson Creek,5,CROO,11,SC REGION,WM,16,S,22,E,28,44.16136932,-120.10536193,2011-10-24,2017,L
