"iso_a3","country","year","region","income_group","gdp_percap","life_expect","population","birth_rate","neonat_mortal"
"AFG","Afghanistan",1996,"South Asia","Low income",,52.9727804878049,18415307,51.063,46
"AFG","Afghanistan",1997,"South Asia","Low income",,53.5084878048781,19021226,51.039,45.5
"AFG","Afghanistan",1998,"South Asia","Low income",,53.9921951219512,19496836,50.869,45.1
"AFG","Afghanistan",1999,"South Asia","Low income",,54.4328780487805,19987071,50.528,44.6
"AFG","Afghanistan",2000,"South Asia","Low income",,54.8485609756098,20595360,49.999,44.2
"AFG","Afghanistan",2001,"South Asia","Low income",,55.2562195121951,21347782,49.281,43.6
"AFG","Afghanistan",2002,"South Asia","Low income",866.70445306671,55.6718780487805,22202806,48.405,43
"AFG","Afghanistan",2003,"South Asia","Low income",920.748143536978,56.1075609756098,23116142,47.403,42.3
"AFG","Afghanistan",2004,"South Asia","Low income",920.106877255381,56.5697317073171,24018682,46.291,41.6
"AFG","Afghanistan",2005,"South Asia","Low income",1020.07279107041,57.0584390243903,24860855,45.078,41
"AFG","Afghanistan",2006,"South Asia","Low income",1076.46137755223,57.5706585365854,25631282,43.763,40.3
"AFG","Afghanistan",2007,"South Asia","Low income",1222.76409923143,58.0913658536585,26349243,42.361,39.7
"AFG","Afghanistan",2008,"South Asia","Low income",1258.73994429474,58.6070975609756,27032197,40.899,39.1
"AFG","Afghanistan",2009,"South Asia","Low income",1497.88425632092,59.1123414634146,27708187,39.414,38.6
"AFG","Afghanistan",2010,"South Asia","Low income",1604.19145658038,59.6000975609756,28397812,37.952,38.1
"AFG","Afghanistan",2011,"South Asia","Low income",1695.1534360731,60.0653658536585,29105480,36.556,37.5
"AFG","Afghanistan",2012,"South Asia","Low income",1927.1387671297,60.5091219512195,29824536,35.254,36.9
"AFG","Afghanistan",2013,"South Asia","Low income",1946.19380603184,,30551674,,36.3
"AFG","Afghanistan",2014,"South Asia","Low income",,,,,
"AGO","Angola",1990,"Sub-Saharan Africa","Upper middle income",2801.45554782249,41.1383414634146,10333844,52.587,54.3
"AGO","Angola",1991,"Sub-Saharan Africa","Upper middle income",2727.68991440522,41.2063414634146,10652727,52.427,54.3
"AGO","Angola",1992,"Sub-Saharan Africa","Upper middle income",2541.08594121148,41.3130243902439,11002758,52.242,54.3
"AGO","Angola",1993,"Sub-Saharan Africa","Upper middle income",1866.82607697858,41.4781951219512,11372156,52.04,54.3
"AGO","Angola",1994,"Sub-Saharan Africa","Upper middle income",1908.13946046239,41.716243902439,11743432,51.825,54.2
"AGO","Angola",1995,"Sub-Saharan Africa","Upper middle income",2086.34341992936,42.0514634146341,12104952,51.603,54.2
"AGO","Angola",1996,"Sub-Saharan Africa","Upper middle income",2296.46592460767,42.5016341463415,12451945,51.379,54.1
"AGO","Angola",1997,"Sub-Saharan Africa","Upper middle income",2453.63920529218,43.0621219512195,12791388,51.155,53.9
"AGO","Angola",1998,"Sub-Saharan Africa","Upper middle income",2579.23069145257,43.7142682926829,13137542,50.93,53.7
"AGO","Angola",1999,"Sub-Saharan Africa","Upper middle income",2626.33065426854,44.439,13510616,50.703,53.5
"AGO","Angola",2000,"Sub-Saharan Africa","Upper middle income",2684.77463506197,45.2047804878049,13924930,50.477,53.2
"AGO","Angola",2001,"Sub-Saharan Africa","Upper middle income",2770.24008509718,45.9731463414634,14385283,50.257,52.9
"AGO","Angola",2002,"Sub-Saharan Africa","Upper middle income",3093.70563264484,46.7117317073171,14886574,50.034,52.7
"AGO","Angola",2003,"Sub-Saharan Africa","Upper middle income",3205.84341849113,47.3931707317073,15421075,49.799,52.4
"AGO","Angola",2004,"Sub-Saharan Africa","Upper middle income",3525.263937929,48.003512195122,15976715,49.538,52
"AGO","Angola",2005,"Sub-Saharan Africa","Upper middle income",4155.50302347808,48.5388048780488,16544376,49.224,51.7
"AGO","Angola",2006,"Sub-Saharan Africa","Upper middle income",4996.76653548488,49.0070487804878,17122409,48.825,51.2
"AGO","Angola",2007,"Sub-Saharan Africa","Upper middle income",6079.39017136304,49.4357317073171,17712824,48.33,50.7
"AGO","Angola",2008,"Sub-Saharan Africa","Upper middle income",6821.20299424074,49.8473902439024,18314441,47.739,50.1
"AGO","Angola",2009,"Sub-Saharan Africa","Upper middle income",6813.1030476225,50.2510243902439,18926650,47.063,49.5
"AGO","Angola",2010,"Sub-Saharan Africa","Upper middle income",6904.56260697824,50.6541707317073,19549124,46.327,48.8
"AGO","Angola",2011,"Sub-Saharan Africa","Upper middle income",7094.08430203827,51.0593170731707,20180490,45.566,48.1
"AGO","Angola",2012,"Sub-Saharan Africa","Upper middle income",7360.59859526429,51.464,20820525,44.819,47.4
"AGO","Angola",2013,"Sub-Saharan Africa","Upper middle income",7736.17468163313,,21471618,,46.6
"AGO","Angola",2014,"Sub-Saharan Africa","Upper middle income",,,,,
"ALB","Albania",1990,"Europe & Central Asia","Upper middle income",2843.94328072607,71.9573170731707,3286542,25.225,17
"ALB","Albania",1991,"Europe & Central Asia","Upper middle income",2081.34558154916,71.9184146341463,3266790,24.687,16.4
"ALB","Albania",1992,"Europe & Central Asia","Upper middle income",1987.55740279707,71.9008048780488,3247039,24.14,15.9
"ALB","Albania",1993,"Europe & Central Asia","Upper middle income",2243.9182859309,71.9358536585366,3227287,23.594,15.5
"ALB","Albania",1994,"Europe & Central Asia","Upper middle income",2497.06319390141,72.0419512195122,3207536,23.049,15
"ALB","Albania",1995,"Europe & Central Asia","Upper middle income",2906.14139466581,72.2360243902439,3187784,22.49,14.5
"ALB","Albania",1996,"Europe & Central Asia","Upper middle income",3248.51012672996,72.5274146341463,3168033,21.896,14.1
"ALB","Albania",1997,"Europe & Central Asia","Upper middle income",2985.97729281793,72.8980975609756,3148281,21.249,13.6
"ALB","Albania",1998,"Europe & Central Asia","Upper middle income",3423.17336949248,73.3265853658537,3128530,20.539,13
"ALB","Albania",1999,"Europe & Central Asia","Upper middle income",3847.15711084088,73.7933902439025,3108778,19.77,12.5
"ALB","Albania",2000,"Europe & Central Asia","Upper middle income",4249.08885750581,74.2720731707317,3089027,18.938,12
"ALB","Albania",2001,"Europe & Central Asia","Upper middle income",4687.88201805671,74.7342195121951,3064111,18.046,11.5
"ALB","Albania",2002,"Europe & Central Asia","Upper middle income",4918.19864281042,75.1579512195122,3051427,17.118,11.1
"ALB","Albania",2003,"Europe & Central Asia","Upper middle income",5333.20658706949,75.5293658536585,3033659,16.188,10.6
"ALB","Albania",2004,"Europe & Central Asia","Upper middle income",5839.76684726872,75.839,3014579,15.29,10.2
"ALB","Albania",2005,"Europe & Central Asia","Upper middle income",6405.59076853735,76.0893902439024,2992724,14.474,9.8
"ALB","Albania",2006,"Europe & Central Asia","Upper middle income",7240.41750314635,76.2905365853659,2968028,13.788,9.4
"ALB","Albania",2007,"Europe & Central Asia","Upper middle income",7735.05739105676,76.4648536585366,2940880,13.255,9.1
"ALB","Albania",2008,"Europe & Central Asia","Upper middle income",8873.75784565758,76.6323170731707,2912559,12.885,8.7
"ALB","Albania",2009,"Europe & Central Asia","Upper middle income",9485.11288293303,76.8018780487805,2884303,12.674,8.4
"ALB","Albania",2010,"Europe & Central Asia","Upper middle income",9480.88620452356,76.978512195122,2856673,12.607,8.1
"ALB","Albania",2011,"Europe & Central Asia","Upper middle income",9897.17995780064,77.1632195121951,2829337,12.651,7.9
"ALB","Albania",2012,"Europe & Central Asia","Upper middle income",10007.6485941057,77.3504634146341,2801681,12.756,7.7
"ALB","Albania",2013,"Europe & Central Asia","Upper middle income",10374.015637354,,2773620,,7.4
"ALB","Albania",2014,"Europe & Central Asia","Upper middle income",,,,,
"AND","Andorra",1990,"Europe & Central Asia","High income",,,54511,,4.2
"AND","Andorra",1991,"Europe & Central Asia","High income",,,56674,,4
"AND","Andorra",1992,"Europe & Central Asia","High income",,,58904,,3.7
"AND","Andorra",1993,"Europe & Central Asia","High income",,,61003,,3.4
"AND","Andorra",1994,"Europe & Central Asia","High income",,,62707,,3.2
"AND","Andorra",1995,"Europe & Central Asia","High income",,,63854,,3
"AND","Andorra",1996,"Europe & Central Asia","High income",,,64274,,2.8
"AND","Andorra",1997,"Europe & Central Asia","High income",,,64090,,2.7
"AND","Andorra",1998,"Europe & Central Asia","High income",,,63799,,2.5
"AND","Andorra",1999,"Europe & Central Asia","High income",,,64084,12.6,2.4
"AND","Andorra",2000,"Europe & Central Asia","High income",,,65399,11.3,2.3
"AND","Andorra",2001,"Europe & Central Asia","High income",,,68000,11.8,2.1
"AND","Andorra",2002,"Europe & Central Asia","High income",,,71639,11.2,2.1
"AND","Andorra",2003,"Europe & Central Asia","High income",,,75643,10.3,2
"AND","Andorra",2004,"Europe & Central Asia","High income",,,79060,10.9,1.9
"AND","Andorra",2005,"Europe & Central Asia","High income",,,81223,10.7,1.9
"AND","Andorra",2006,"Europe & Central Asia","High income",,,81877,10.6,1.8
"AND","Andorra",2007,"Europe & Central Asia","High income",,,81292,10.1,1.7
"AND","Andorra",2008,"Europe & Central Asia","High income",,,79969,10.4,1.7
"AND","Andorra",2009,"Europe & Central Asia","High income",,,78659,9.9,1.6
"AND","Andorra",2010,"Europe & Central Asia","High income",,,77907,9.8,1.6
"AND","Andorra",2011,"Europe & Central Asia","High income",,,77865,,1.5
"AND","Andorra",2012,"Europe & Central Asia","High income",,,78360,9.5,1.5
"AND","Andorra",2013,"Europe & Central Asia","High income",,,79218,,1.4
"AND","Andorra",2014,"Europe & Central Asia","High income",,,,,
"ARE","United Arab Emirates",1990,"Middle East & North Africa","High income",74292.1179328229,71.7206341463415,1806498,25.892,9.3
"ARE","United Arab Emirates",1991,"Middle East & North Africa","High income",73296.879318739,72.013756097561,1908002,24.746,8.9
"ARE","United Arab Emirates",1992,"Middle East & North Africa","High income",73435.9185668332,72.2993414634146,2012977,23.566,8.5
"ARE","United Arab Emirates",1993,"Middle East & North Africa","High income",72251.5741953732,72.5779024390244,2121143,22.396,8.2
"ARE","United Arab Emirates",1994,"Middle East & North Africa","High income",74951.8199775883,72.8519268292683,2232159,21.275,7.8
"ARE","United Arab Emirates",1995,"Middle East & North Africa","High income",77662.7205149382,73.1219024390244,2346305,20.238,7.6
"ARE","United Arab Emirates",1996,"Middle East & North Africa","High income",79447.5256877047,73.3878292682927,2470810,19.309,7.4
"ARE","United Arab Emirates",1997,"Middle East & North Africa","High income",82802.8460677315,73.6497317073171,2608993,18.488,7.1
"ARE","United Arab Emirates",1998,"Middle East & North Africa","High income",79539.8914540398,73.9055853658537,2753498,17.778,6.9
"ARE","United Arab Emirates",1999,"Middle East & North Africa","High income",78999.050519938,74.1579024390244,2893648,17.189,6.7
"ARE","United Arab Emirates",2000,"Middle East & North Africa","High income",85641.1689503228,74.4056829268293,3026352,16.738,6.5
"ARE","United Arab Emirates",2001,"Middle East & North Africa","High income",85818.2710064805,74.6494634146342,3132104,16.438,6.4
"ARE","United Arab Emirates",2002,"Middle East & North Africa","High income",86712.0422857497,74.8892195121951,3223969,16.274,6.2
"ARE","United Arab Emirates",2003,"Middle East & North Africa","High income",92074.3592085433,75.1244878048781,3369254,16.218,6
"ARE","United Arab Emirates",2004,"Middle East & North Africa","High income",95455.1202400456,75.3557317073171,3658658,16.24,5.9
"ARE","United Arab Emirates",2005,"Middle East & North Africa","High income",91102.6829095127,75.5819512195122,4148883,16.302,5.8
"ARE","United Arab Emirates",2006,"Middle East & North Africa","High income",87766.147264222,75.8001219512195,4875639,16.365,5.6
"ARE","United Arab Emirates",2007,"Middle East & North Africa","High income",78193.619487205,76.0112195121951,5797347,16.395,5.5
"ARE","United Arab Emirates",2008,"Middle East & North Africa","High income",70133.1529753682,76.214756097561,6798635,16.357,5.4
"ARE","United Arab Emirates",2009,"Middle East & North Africa","High income",59291.1038381634,76.4107073170732,7718319,16.224,5.3
"ARE","United Arab Emirates",2010,"Middle East & North Africa","High income",55764.8732505196,76.5986097560976,8441537,15.969,5.2
"ARE","United Arab Emirates",2011,"Middle East & North Africa","High income",56376.7699227134,76.781,8925096,15.578,5.1
"ARE","United Arab Emirates",2012,"Middle East & North Africa","High income",59845.2568174939,76.9578780487805,9205651,15.069,5
"ARE","United Arab Emirates",2013,"Middle East & North Africa","High income",,,9346129,,4.8
"ARE","United Arab Emirates",2014,"Middle East & North Africa","High income",,,,,
"ARG","Argentina",1990,"Latin America & Caribbean","Upper middle income",,71.5436585365854,32624874,21.72,15.8
"ARG","Argentina",1991,"Latin America & Caribbean","Upper middle income",,71.7632926829268,33075194,21.527,15.2
"ARG","Argentina",1992,"Latin America & Caribbean","Upper middle income",,71.9889512195122,33520803,21.31,14.6
"ARG","Argentina",1993,"Latin America & Caribbean","Upper middle income",,72.2156585365854,33961947,21.067,14.1
"ARG","Argentina",1994,"Latin America & Caribbean","Upper middle income",,72.4413902439024,34399343,20.8,13.5
"ARG","Argentina",1995,"Latin America & Caribbean","Upper middle income",,72.6646097560976,34833168,20.503,13.1
"ARG","Argentina",1996,"Latin America & Caribbean","Upper middle income",,72.8853170731707,35264070,20.176,12.7
"ARG","Argentina",1997,"Latin America & Caribbean","Upper middle income",,73.1039756097561,35690778,19.827,12.2
"ARG","Argentina",1998,"Latin America & Caribbean","Upper middle income",,73.3200731707317,36109342,19.465,11.8
"ARG","Argentina",1999,"Latin America & Caribbean","Upper middle income",,73.5341219512195,36514558,19.103,11.5
"ARG","Argentina",2000,"Latin America & Caribbean","Upper middle income",,73.7456585365854,36903067,18.757,11.1
"ARG","Argentina",2001,"Latin America & Caribbean","Upper middle income",,73.9536829268293,37273361,18.445,10.8
"ARG","Argentina",2002,"Latin America & Caribbean","Upper middle income",,74.1587804878049,37627545,18.177,10.5
"ARG","Argentina",2003,"Latin America & Caribbean","Upper middle income",,74.3599512195122,37970411,17.958,10.1
"ARG","Argentina",2004,"Latin America & Caribbean","Upper middle income",,74.5577317073171,38308779,17.788,9.7
"ARG","Argentina",2005,"Latin America & Caribbean","Upper middle income",,74.7516585365854,38647854,17.66,9.2
"ARG","Argentina",2006,"Latin America & Caribbean","Upper middle income",,74.9412195121951,38988923,17.564,8.8
"ARG","Argentina",2007,"Latin America & Caribbean","Upper middle income",,75.1269024390244,39331357,17.481,8.5
"ARG","Argentina",2008,"Latin America & Caribbean","Upper middle income",,75.3081951219512,39676083,17.396,8.3
"ARG","Argentina",2009,"Latin America & Caribbean","Upper middle income",,75.4870975609756,40023641,17.301,8
"ARG","Argentina",2010,"Latin America & Caribbean","Upper middle income",,75.6635609756098,40374224,17.188,7.8
"ARG","Argentina",2011,"Latin America & Caribbean","Upper middle income",,75.8386097560976,40728738,17.057,7.6
"ARG","Argentina",2012,"Latin America & Caribbean","Upper middle income",,76.0126829268293,41086927,16.911,7.3
"ARG","Argentina",2013,"Latin America & Caribbean","Upper middle income",,,41446246,,7.1
"ARG","Argentina",2014,"Latin America & Caribbean","Upper middle income",,,,,
"ARM","Armenia",1990,"Europe & Central Asia","Lower middle income",2416.75880360594,67.7478048780488,3544695,21.6,24.2
"ARM","Armenia",1991,"Europe & Central Asia","Lower middle income",2225.32802303042,67.7382926829268,3511912,20.652,23.4
"ARM","Armenia",1992,"Europe & Central Asia","Lower middle income",1348.64811796835,67.8533414634147,3449497,19.546,22.6
"ARM","Armenia",1993,"Europe & Central Asia","Lower middle income",1289.10530299811,68.0695609756098,3369673,18.348,21.7
"ARM","Armenia",1994,"Europe & Central Asia","Lower middle income",1421.20390339313,68.3766585365854,3289943,17.123,20.9
"ARM","Armenia",1995,"Europe & Central Asia","Lower middle income",1583.11874832464,68.7635609756098,3223173,15.962,20.1
"ARM","Armenia",1996,"Europe & Central Asia","Lower middle income",1733.27095612295,69.2168536585366,3173425,14.957,19.4
"ARM","Armenia",1997,"Europe & Central Asia","Lower middle income",1842.4197956479,69.7164146341464,3137652,14.16,18.6
"ARM","Armenia",1998,"Europe & Central Asia","Lower middle income",2014.21181618526,70.2402195121951,3112958,13.6,18
"ARM","Armenia",1999,"Europe & Central Asia","Lower middle income",2123.52204635736,70.7670975609756,3093820,13.286,17.3
"ARM","Armenia",2000,"Europe & Central Asia","Lower middle income",2313.32032023682,71.2765365853658,3076098,13.201,16.6
"ARM","Armenia",2001,"Europe & Central Asia","Lower middle income",2605.78615827305,71.7556585365854,3059960,13.299,15.9
"ARM","Armenia",2002,"Europe & Central Asia","Lower middle income",3007.37895853632,72.202243902439,3047002,13.494,15.3
"ARM","Armenia",2003,"Europe & Central Asia","Lower middle income",3510.63694625266,72.6109756097561,3036032,13.712,14.7
"ARM","Armenia",2004,"Europe & Central Asia","Lower middle income",3998.34446309027,72.9749268292683,3025652,13.911,14.1
"ARM","Armenia",2005,"Europe & Central Asia","Lower middle income",4715.94103044422,73.2885609756098,3014917,14.061,13.5
"ARM","Armenia",2006,"Europe & Central Asia","Lower middle income",5524.41541067862,73.5498292682927,3002911,14.152,12.9
"ARM","Armenia",2007,"Europe & Central Asia","Lower middle income",6479.64380521236,73.7646341463415,2989882,14.201,12.4
"ARM","Armenia",2008,"Europe & Central Asia","Lower middle income",7089.76750004565,73.9438780487805,2977488,14.219,11.9
"ARM","Armenia",2009,"Europe & Central Asia","Lower middle income",6153.82967152114,74.0930487804878,2968154,14.201,11.4
"ARM","Armenia",2010,"Europe & Central Asia","Lower middle income",6376.32621880003,74.2196585365854,2963496,14.14,10.9
"ARM","Armenia",2011,"Europe & Central Asia","Lower middle income",6812.35195593287,74.3321951219512,2964120,14.033,10.4
"ARM","Armenia",2012,"Europe & Central Asia","Lower middle income",7421.82329489282,74.4372195121951,2969081,13.884,10
"ARM","Armenia",2013,"Europe & Central Asia","Lower middle income",7776.2860430691,,2976566,,9.5
"ARM","Armenia",2014,"Europe & Central Asia","Lower middle income",,,,,
"ASM","American Samoa",1990,"East Asia & Pacific","Upper middle income",,,47044,,
"ASM","American Samoa",1991,"East Asia & Pacific","Upper middle income",,,48379,,
"ASM","American Samoa",1992,"East Asia & Pacific","Upper middle income",,,49597,,
"ASM","American Samoa",1993,"East Asia & Pacific","Upper middle income",,,50725,,
"ASM","American Samoa",1994,"East Asia & Pacific","Upper middle income",,,51807,,
"ASM","American Samoa",1995,"East Asia & Pacific","Upper middle income",,,52874,,
"ASM","American Samoa",1996,"East Asia & Pacific","Upper middle income",,,53926,,
"ASM","American Samoa",1997,"East Asia & Pacific","Upper middle income",,,54942,,
"ASM","American Samoa",1998,"East Asia & Pacific","Upper middle income",,,55899,,
"ASM","American Samoa",1999,"East Asia & Pacific","Upper middle income",,,56768,,
"ASM","American Samoa",2000,"East Asia & Pacific","Upper middle income",,,57522,,
"ASM","American Samoa",2001,"East Asia & Pacific","Upper middle income",,,58176,,
"ASM","American Samoa",2002,"East Asia & Pacific","Upper middle income",,,58729,,
"ASM","American Samoa",2003,"East Asia & Pacific","Upper middle income",,,59117,,
"ASM","American Samoa",2004,"East Asia & Pacific","Upper middle income",,,59262,,
"ASM","American Samoa",2005,"East Asia & Pacific","Upper middle income",,,59117,,
"ASM","American Samoa",2006,"East Asia & Pacific","Upper middle income",,,58652,21.6,
"ASM","American Samoa",2007,"East Asia & Pacific","Upper middle income",,,57919,,
"ASM","American Samoa",2008,"East Asia & Pacific","Upper middle income",,,57053,,
"ASM","American Samoa",2009,"East Asia & Pacific","Upper middle income",,,56245,,
"ASM","American Samoa",2010,"East Asia & Pacific","Upper middle income",,,55636,18.7,
"ASM","American Samoa",2011,"East Asia & Pacific","Upper middle income",,,55274,,
"ASM","American Samoa",2012,"East Asia & Pacific","Upper middle income",,,55128,,
"ASM","American Samoa",2013,"East Asia & Pacific","Upper middle income",,,55165,,
"ASM","American Samoa",2014,"East Asia & Pacific","Upper middle income",,,,,
"ATG","Antigua and Barbuda",1990,"Latin America & Caribbean","High income",11097.8265433074,71.1629512195122,61906,18.779,12.4
"ATG","Antigua and Barbuda",1991,"Latin America & Caribbean","High income",11604.3982892637,71.4005853658537,62412,18.879,11.9
"ATG","Antigua and Barbuda",1992,"Latin America & Caribbean","High income",11776.8874191871,71.6347073170732,63434,19.047,11.4
"ATG","Antigua and Barbuda",1993,"Latin America & Caribbean","High income",12426.499970659,71.8658536585366,64868,19.274,10.9
"ATG","Antigua and Barbuda",1994,"Latin America & Caribbean","High income",13152.4107235358,72.093,66550,19.54,10.4
"ATG","Antigua and Barbuda",1995,"Latin America & Caribbean","High income",12527.5598805977,72.3176829268293,68349,19.816,10
"ATG","Antigua and Barbuda",1996,"Latin America & Caribbean","High income",13248.0571346004,72.5388536585366,70245,20.064,9.6
"ATG","Antigua and Barbuda",1997,"Latin America & Caribbean","High income",13745.6273859105,72.7575609756098,72232,20.251,9.2
"ATG","Antigua and Barbuda",1998,"Latin America & Caribbean","High income",14121.2427549376,72.9737804878049,74206,20.352,8.8
"ATG","Antigua and Barbuda",1999,"Latin America & Caribbean","High income",14553.8558206109,73.1860243902439,76041,20.351,8.4
"ATG","Antigua and Barbuda",2000,"Latin America & Caribbean","High income",15312.4895463018,73.3972926829268,77648,20.24,8
"ATG","Antigua and Barbuda",2001,"Latin America & Caribbean","High income",14906.7855787062,73.6060731707317,78972,20.022,7.7
"ATG","Antigua and Barbuda",2002,"Latin America & Caribbean","High income",15372.1477521814,73.8133902439024,80030,19.724,7.4
"ATG","Antigua and Barbuda",2003,"Latin America & Caribbean","High income",16426.3231713619,74.0192195121951,80904,19.374,7.1
"ATG","Antigua and Barbuda",2004,"Latin America & Caribbean","High income",17592.8433712148,74.2220487804878,81718,18.992,6.8
"ATG","Antigua and Barbuda",2005,"Latin America & Caribbean","High income",19065.8463761301,74.4218536585366,82565,18.599,6.6
"ATG","Antigua and Barbuda",2006,"Latin America & Caribbean","High income",22039.7279330081,74.6160975609756,83467,18.214,6.3
"ATG","Antigua and Barbuda",2007,"Latin America & Caribbean","High income",24503.7182865403,74.8047804878049,84397,17.848,6.1
"ATG","Antigua and Barbuda",2008,"Latin America & Caribbean","High income",24715.4436835715,74.9868780487805,85349,17.513,5.9
"ATG","Antigua and Barbuda",2009,"Latin America & Caribbean","High income",21670.5772295669,75.1624146341464,86300,17.216,5.7
"ATG","Antigua and Barbuda",2010,"Latin America & Caribbean","High income",20151.4931709097,75.3339024390244,87233,16.966,5.5
"ATG","Antigua and Barbuda",2011,"Latin America & Caribbean","High income",19987.9241389288,75.5003658536586,88152,16.763,5.3
"ATG","Antigua and Barbuda",2012,"Latin America & Caribbean","High income",20947.5499204627,75.6653170731707,89069,16.595,5.2
"ATG","Antigua and Barbuda",2013,"Latin America & Caribbean","High income",21027.8266399337,,89985,,5
"ATG","Antigua and Barbuda",2014,"Latin America & Caribbean","High income",,,,,
"AUS","Australia",1990,"East Asia & Pacific","High income",17392.5973181894,76.9946341463415,17065100,15.4,4.7
"AUS","Australia",1991,"East Asia & Pacific","High income",17808.052634209,77.2756097560976,17284000,14.9,4.4
"AUS","Australia",1992,"East Asia & Pacific","High income",18261.6717362103,77.3780487804878,17495000,15.1,4.2
"AUS","Australia",1993,"East Asia & Pacific","High income",19229.278717405,77.8780487804878,17667000,14.7,4.1
"AUS","Australia",1994,"East Asia & Pacific","High income",20085.1423253725,77.8780487804878,17855000,14.5,3.9
"AUS","Australia",1995,"East Asia & Pacific","High income",21034.6611280523,77.8292682926829,18072000,14.2,3.8
"AUS","Australia",1996,"East Asia & Pacific","High income",22067.857274016,78.0780487804878,18311000,13.9,3.7
"AUS","Australia",1997,"East Asia & Pacific","High income",22897.5834073863,78.4804878048781,18517000,13.6,3.6
"AUS","Australia",1998,"East Asia & Pacific","High income",24285.1834409445,78.6317073170732,18711000,13.3,3.6
"AUS","Australia",1999,"East Asia & Pacific","High income",25269.8234773227,78.9317073170732,18926000,13.1,3.5
"AUS","Australia",2000,"East Asia & Pacific","High income",26325.4537490161,79.2341463414634,19153000,13,3.5
"AUS","Australia",2001,"East Asia & Pacific","High income",27434.1934338223,79.6341463414634,19413000,12.7,3.4
"AUS","Australia",2002,"East Asia & Pacific","High income",28689.2690799868,79.9365853658537,19651400,12.8,3.4
"AUS","Australia",2003,"East Asia & Pacific","High income",29781.4725704306,80.2390243902439,19895400,12.6,3.3
"AUS","Australia",2004,"East Asia & Pacific","High income",31312.443494245,80.490243902439,20127400,12.3,3.3
"AUS","Australia",2005,"East Asia & Pacific","High income",32571.8251177535,80.8414634146341,20394800,12.8,3.2
"AUS","Australia",2006,"East Asia & Pacific","High income",34272.7602198918,81.0414634146342,20697900,12.9,3.2
"AUS","Australia",2007,"East Asia & Pacific","High income",36577.6792688464,81.2926829268293,20827600,14.1,3.1
"AUS","Australia",2008,"East Asia & Pacific","High income",37494.6006496209,81.3951219512195,21249200,14,3
"AUS","Australia",2009,"East Asia & Pacific","High income",40208.9268857033,81.5439024390244,21691700,13.9,2.9
"AUS","Australia",2010,"East Asia & Pacific","High income",39048.1534352497,81.6951219512195,22031800,13.7,2.8
"AUS","Australia",2011,"East Asia & Pacific","High income",41705.9974471296,81.8951219512195,22340000,13.6,2.7
